"","X","full_name","passer_id","position","team","season","chances","mcmc.mean","sim.mean","mcmc.sd","sim.sd","headshot_url"
"1",1,"Kurt Warner","00-0017200","QB","STL",1999,564,0.0160779520628458,0.0185219556269063,0.0200723360073333,0.0385890042239551,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAR492511.png"
"2",2,"Steve Beuerlein","00-0001218","QB","CAR",1999,544,0.00926421653473813,0.0123695185189882,0.013909036484865,0.0262863107554502,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEU207645.png"
"3",3,"Rich Gannon","00-0005741","QB","OAK",1999,499,0.00793665673320014,0.0113840256814963,0.0132390788666269,0.0246472334076983,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAN296635.png"
"4",4,"Elvis Grbac","00-0006300","QB","KC",1999,465,0.00695276320176581,0.0101941713969243,0.0125194294596902,0.022736474334905,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRB059326.png"
"5",5,"Jeff George","00-0005885","QB","MIN",1999,384,0.00588451986973526,0.00937141256411658,0.0121151582407215,0.0215084096563474,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GEO276861.png"
"6",6,"Brian Griese","00-0006423","QB","DEN",1999,425,0.00552534210684754,0.00884728158858592,0.0119991342844935,0.0208788246460118,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRI028314.png"
"7",7,"Drew Bledsoe","00-0001361","QB","NE",1999,510,0.00553001670431701,0.00819262018531434,0.0115411823709556,0.0197574935031345,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BLE195074.png"
"8",8,"Mark Brunell","00-0002110","QB","JAX",1999,475,0.00402805592625797,0.00662200083353262,0.0110371472155998,0.0176679785015468,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRU575022.png"
"9",9,"Peyton Manning","00-0010346","QB","IND",1999,566,0.00400728387650838,0.00654676808164596,0.0103634428191178,0.0169271159752075,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png"
"10",10,"Jay Fiedler","00-0005180","QB","JAX",1999,101,0.00389492970837374,0.00649915319395704,0.0125750467473335,0.019073706542989,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FIE053391.png"
"11",11,"Jeff Blake","00-0001335","QB","CIN",1999,371,0.00399263202259309,0.00639506871580744,0.0117960480434606,0.0182086344540412,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BLA575324.png"
"12",12,"Kerry Collins","00-0003292","QB","NYG",1999,312,0.00183937442575272,0.0044091641296099,0.0109175472242917,0.015336372807328,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COL620367.png"
"13",13,"Jim Miller","00-0011276","QB","CHI",1999,172,0.00177466695605801,0.00412157587690018,0.0118095803211659,0.0159451967002413,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIL305724.png"
"14",14,"Jon Kitna","00-0009311","QB","SEA",1999,497,0.00196126209738411,0.00366437439971369,0.00978241617722526,0.0134550910715659,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KIT155733.png"
"15",15,"Randall Cunningham","00-0003761","QB","MIN",1999,190,0.00134948142734094,0.00332543249002808,0.0113295547616744,0.0146622997351431,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CUN664464.png"
"16",16,"Mike Tomczak","00-0016538","QB","PIT",1999,244,0.00130586029880529,0.00322847968247759,0.0115815540959215,0.0148201867196899,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOM553720.png"
"17",17,"Trent Dilfer","00-0004293","QB","TB",1999,238,0.00150057072343857,0.00311354150346706,0.0114344804218981,0.0145605350724149,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DIL049692.png"
"18",18,"Rob Johnson","00-0008612","QB","BUF",1999,56,0.00127832665698872,0.00310681533603634,0.0116139321135043,0.0147261093127604,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH625847.png"
"19",19,"Moses Moreno","00-0011640","QB","SD",1999,7,0.00024921438564407,0.00303328632249085,0.0117867301227029,0.0148272013146371,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOR121071.png"
"20",20,"Brad Johnson","00-0008442","QB","WAS",1999,556,0.00118329214505311,0.00299672958123601,0.0105155683767379,0.0135202454696565,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH322990.png"
"21",21,"Shane Matthews","00-0010560","QB","CHI",1999,266,0.00131410644933384,0.00299208893845788,0.011027935492455,0.0140306478236884,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAT575349.png"
"22",22,"Brett Favre","00-0005106","QB","GB",1999,567,0.00153053590321524,0.00297590284587345,0.0109268432784741,0.0139103545690781,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FAV540222.png"
"23",23,"Jeff Garcia","00-0005755","QB","SF",1999,355,0.00149038566615159,0.00249179969221915,0.010222757482337,0.0127187344047177,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAR101861.png"
"24",24,"Chris Chandler","00-0002876","QB","ATL",1999,292,0.000985628710817099,0.00243512232908236,0.0105838718969526,0.0130242304962641,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHA222838.png"
"25",25,"Dan Marino","00-0010379","QB","MIA",1999,405,0.00137645225945842,0.0023426199650221,0.0108428874428501,0.0131927876793515,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR149079.png"
"26",26,"Chris Miller","00-0011244","QB","DEN",1999,78,0.000301708515327465,0.0021453631640783,0.0123074548475171,0.0144618320272175,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIL180906.png"
"27",27,"Joe Germaine","00-0005902","QB","STL",1999,15,0.000666683960289756,0.00209938944271595,0.0120229715703193,0.0141234297424551,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GER485598.png"
"28",28,"Doug Flutie","00-0005363","QB","BUF",1999,462,0.000759546367037327,0.00198022993155252,0.0105229468010995,0.0125096547589979,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FLU553722.png"
"29",29,"Scott Zolak","00-0018518","QB","MIA",1999,3,-0.000150316560229347,0.00189802789039397,0.0117734657520911,0.0136838889915302,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ZOL031944.png"
"30",30,"Kent Graham","00-0006212","QB","NYG",1999,263,-1.28762826226953e-06,0.00173771628134772,0.0111071414852276,0.012848281140593,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA207625.png"
"31",31,"Danny Kanell","00-0009007","QB","ATL",1999,75,0.000749804756176905,0.00167934538831718,0.0119478719965357,0.0136344958700121,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KAN382648.png"
"32",32,"Pete Gonzalez","00-0006100","QB","PIT",1999,1,8.89069257660191e-05,0.00155722563000349,0.0117068092676295,0.0132851617337223,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GON721674.png"
"33",33,"Vinny Testaverde","00-0016193","QB","NYJ",1999,14,0.000238765504707912,0.00155221334878529,0.011427566473666,0.0129799457909867,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TES415290.png"
"34",34,"Gus Frerotte","00-0005589","QB","DET",1999,306,0.00109108106464257,0.00153154287431988,0.0113089182650168,0.0128443430727663,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FRE682395.png"
"35",35,"Warren Moon","00-0011524","QB","KC",1999,2,-5.97990289442629e-05,0.00133126225396518,0.0126960699886093,0.0140332051902431,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOO057675.png"
"36",36,"Rodney Peete","00-0012732","QB","WAS",1999,16,-2.29562325915027e-05,0.000581835746157142,0.0116972054572186,0.0122821012941643,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PEE498348.png"
"37",37,"Ray Lucas","00-0010137","QB","NYJ",1999,261,2.59280116620044e-05,0.00057453619300039,0.0103222027572077,0.0108954440930666,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LUC107404.png"
"38",38,"Paul Justin","00-0008970","QB","STL",1999,14,-0.000184752221856405,0.000545786944590775,0.0119590536238809,0.0125024628429127,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JUS640238.png"
"39",39,"Neil O'Donnell","00-0012261","QB","TEN",1999,193,5.93722849627091e-05,0.000382717171332757,0.0106991832485892,0.0110827436568735,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ODO638910.png"
"40",40,"Bubby Brister","00-0001785","QB","DEN",1999,19,-0.000366425274995033,0.000294428717111243,0.0121989354573792,0.0124931020908998,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRI521505.png"
"41",41,"Bobby Hoying","00-0007832","QB","OAK",1999,5,-0.000213346728008312,0.00029313936773554,0.0128588656208381,0.0131540684481132,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOY495941.png"
"42",42,"Glenn Foley","00-0005379","QB","SEA",1999,30,-0.000259895757922166,0.000248140391598521,0.0121113638327743,0.0123605420547405,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOL095836.png"
"43",43,"Jim Harbaugh","00-0006808","QB","SD",1999,405,-0.000276025250568146,0.000130421795667979,0.0107608179843742,0.0108898645215299,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR004303.png"
"44",44,"Tony Graziani","00-0006299","QB","ATL",1999,110,-9.57933290443923e-05,-1.53171865266492e-05,0.0116594140505925,0.0116423287031395,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA827270.png"
"45",45,"Steve Walsh","00-0017121","QB","IND",1999,10,-0.000414369874558518,-0.00017018651373053,0.0122924014598609,0.0121199421541223,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL606936.png"
"46",46,"Jake Delhomme","00-0004161","QB","NO",1999,70,-0.00037442855318553,-0.000297073155514094,0.0117346105153928,0.011436419837021,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DEL367367.png"
"47",47,"Jeff Lewis","00-0009868","QB","CAR",1999,3,-0.00033787836332468,-0.000353228043948513,0.0113463012415317,0.0109900966303434,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEW374177.png"
"48",48,"Charlie Batch","00-0000865","QB","DET",1999,259,-0.000413376516772985,-0.00044059943887795,0.0102409184039047,0.00979794130324169,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAT039161.png"
"49",49,"Steve McNair","00-0011024","QB","TEN",1999,423,-0.000458824325333103,-0.000467647157767801,0.0100452920052215,0.00957465540980611,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCN033803.png"
"50",50,"Steve Bono","00-0001471","QB","CAR",1999,1,-3.17413503553854e-05,-0.000538537357657631,0.0125836423152678,0.0120407201274591,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BON702801.png"
"51",51,"Billy Joe Tolliver","00-0016534","QB","NO",1999,252,-0.000620971619597221,-0.00072781508980878,0.0108828842404461,0.0101491473231276,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOL755070.png"
"52",52,"Damon Huard","00-0007835","QB","MIA",1999,220,-0.00115671655472282,-0.00119773188821533,0.0102921811921882,0.00908775856085695,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HUA264861.png"
"53",53,"Chris Greisen","00-0006410","QB","ARI",1999,5,-0.000418981402808194,-0.00129573223311512,0.0115690346373434,0.0102677163108487,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE805046.png"
"54",54,"Alex Van Pelt","00-0016838","QB","BUF",1999,1,-0.00050318598252147,-0.00130319411130636,0.0123069213710678,0.0109946786191441,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/VAN706388.png"
"55",55,"Akili Smith","00-0015082","QB","CIN",1999,139,-0.00105835614587298,-0.00137230567435544,0.011292460278935,0.00991508726136795,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI448920.png"
"56",56,"Cade McNown","00-0011044","QB","CHI",1999,219,-0.00136703653148582,-0.00143926394364362,0.0105083285535169,0.00906320152739883,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCN774854.png"
